"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-01","2.24",",,T","0.00",",,T","0.0",",,T","37",",,T","45",",,T","29",",,T","35",",,T","0.0",",,T","13.0",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-02","1.79",",,T","0.00",",,T","0.0",",,T","40",",,T","51",",,T","32",",,T","42",",,T","0.0",",,T","8.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-03","2.91",",,T","0.00",",,T","0.0",",,T","41",",,T","48",",,T","33",",,T","35",",,T","0.0",",,T","20.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-04","2.01",",,T","0.00",",,T","0.0",",,T","31",",,T","37",",,T","26",",,T","31",",,T","0.0",",,T","14.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-05","1.57",",,T","0.00",",,T","0.0",",,T","33",",,T","43",",,T","28",",,T","30",",,T","0.0",",,T","13.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-06","1.57",",,T","0.00",",,T","0.0",",,T","32",",,T","41",",,T","26",",,T","28",",,T","0.0",",,T","8.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-07","3.36",",,T","0.00",",,T","0.0",",,T","22",",,T","28",",,T","14",",,T","14",",,T","0.0",",,T","15.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-08","1.79",",,T","0.00",",,T","0.0",",,T","24",",,T","34",",,T","12",",,T","27",",,T","0.0",",,T","8.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-09","2.91",",,T","0.00",",,T","0.0",",,T","24",",,T","29",",,T","17",",,T","17",",,T","0.0",",,T","11.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-10","1.57",",,T","0.00",",,T","0.0",",,T","31",",,T","47",",,T","16",",,T","32",",,T","0.2",",,T","5.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-11","2.46",",,T","0.00",",,T","0.0",",,T","26",",,T","33",",,T","17",",,T","17",",,T","0.0",",,T","13.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-12","1.79",",,T","0.00",",,T","0.0",",,T","15",",,T","24",",,T","9",",,T","10",",,T","0.0",",,T","9.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-13","1.12",",,T","0.00",",,T","0.0",",,T","15",",,T","27",",,T","8",",,T","18",",,T","0.0",",,T","7.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-14","1.57",",,T","0.00",",,T","0.0",",,T","26",",,T","38",",,T","16",",,T","22",",,T","0.0",",,T","9.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-15","1.79",",,T","0.00",",,T","0.0",",,T","28",",,T","40",",,T","20",",,T","26",",,T","0.0",",,T","10.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-16","1.79",",,T","0.00",",,T","0.0",",,T","29",",,T","43",",,T","22",",,T","25",",,T","0.0",",,T","6.7",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-17","2.01",",,T","0.00",",,T","0.0",",,T","30",",,T","42",",,T","19",",,T","25",",,T","0.0",",,T","11.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-18","1.79",",,T","0.00",",,T","0.0",",,T","29",",,T","41",",,T","21",",,T","28",",,T","0.0",",,T","7.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-19","2.01",",,T","0.00",",,T","0.0",",,T","28",",,T","42",",,T","19",",,T","19",",,T","0.0",",,T","11.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-20","1.79",",,T","0.00",",,T","0.0",",,T","17",",,T","23",",,T","13",",,T","16",",,T","0.0",",,T","16.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-21","1.57",",,T","0.00",",,T","0.0",",,T","29",",,T","47",",,T","15",",,T","29",",,T","0.0",",,T","8.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-22","1.79",",,T","0.00",",,T","0.0",",,T","31",",,T","42",",,T","22",",,T","22",",,T","0.0",",,T","10.7",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-23","1.79",",,T","0.00",",,T","0.0",",,T","30",",,T","39",",,T","22",",,T","28",",,T","0.0",",,T","13.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-24","2.68",",,T","0.00",",,T","0.0",",,T","38",",,T","48",",,T","28",",,T","35",",,T","0.0",",,T","12.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-25","2.46",",,T","0.00",",,T","0.0",",,T","30",",,T","36",",,T","22",",,T","23",",,T","0.0",",,T","14.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-26","0.89",",,T","0.20",",,T","2.0",",,T","21",",,T","29",",,T","14",",,T","19",",,T","0.2",",,T","7.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-27","1.34",",,T","0.00",",,T","2.0",",,T","21",",,T","29",",,T","13",",,T","18",",,T","0.2",",,T","6.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-28","1.12",",,T","0.00",",,T","2.0",",,T","19",",,T","28",",,T","12",",,T","15",",,T","0.2",",,T","10.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-29","1.57",",,T","0.00",",,T","2.0",",,T","23",",,T","37",",,T","14",",,T","21",",,T","0.2",",,T","9.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-30","2.01",",,T","0.00",",,T","2.0",",,T","31",",,T","49",",,T","21",",,T","25",",,T","0.2",",,T","9.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-01-31","2.91",",,T","0.00",",,T","1.0",",,T","36",",,T","46",",,T","25",",,T","38",",,T","0.2",",,T","13.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-01","2.01",",,T","0.00",",,T","0.0",",,T","41",",,T","53",",,T","33",",,T","37",",,T","0.0",",,T","10.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-02","3.36",",,T","0.00",",,T","0.0",",,T","45",",,T","52",",,T","36",",,T","42",",,T","0.0",",,T","18.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-03","3.36",",,T","0.00",",,T","0.0",",,T","44",",,T","48",",,T","41",",,T","43",",,T","0.0",",,T","17.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-04","2.46",",,T","0.00",",,T","0.0",",,T","39",",,T","47",",,T","34",",,T","35",",,T","0.0",",,T","20.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-05","3.13",",,T","0.00",",,T","0.0",",,T","37",",,T","46",",,T","30",",,T","41",",,T","0.0",",,T","22.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-06","3.13",",,T","0.20",",,T","0.0",",,T","38",",,T","46",",,T","34",",,T","35",",,T","0.0",",,T","18.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-07","3.58",",,T","0.10",",,T","0.0",",,T","35",",,T","41",",,T","27",",,T","27",",,T","0.0",",,T","20.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-08","1.34",",,T","0.00",",,T","0.0",",,T","30",",,T","44",",,T","22",",,T","22",",,T","0.0",",,T","7.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-09","2.24",",,T","0.00",",,T","0.0",",,T","32",",,T","44",",,T","20",",,T","33",",,T","0.0",",,T","12.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-10","2.46",",,T","0.00",",,T","0.0",",,T","32",",,T","41",",,T","23",",,T","23",",,T","0.0",",,T","11.0",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-11","1.79",",,T","0.00",",,T","0.0",",,T","26",",,T","36",",,T","17",",,T","17",",,T","0.0",",,T","13.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-12","1.57",",,T","0.00",",,T","0.0",",,T","24",",,T","34",",,T","14",",,T","28",",,T","0.0",",,T","12.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-13","3.36",",,T","2.60",",,T","13.0",",,T","31",",,T","33",",,T","27",",,T","28",",,T","2.6",",,T","21.7",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-14","2.24",",,T","0.40",",,T","15.0",",,T","27",",,T","35",",,T","18",",,T","24",",,T","2.9",",,T","14.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-15","1.79",",,T","0.00",",,T","14.0",",,T","27",",,T","37",",,T","17",",,T","28",",,T","2.9",",,T","12.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-16","2.46",",,T","0.00",",,T","13.0",",,T","35",",,T","48",",,T","27",",,T","29",",,T","2.9",",,T","15.4",",,T"
